Title,Date,Time,Channel,Viewers
VOETBAL EK NEDERLAND-RUSLAND,21-06-2008,2038,Ned1,7.572.000
VOETBAL EK NEDERLAND-FRANKRIJK,13-06-2008,2039,Ned1,7.479.000
VOETBAL EK NEDERLAND-ROEMENIE,17-06-2008,2038,Ned1,7.335.000
PETER R DE VRIES MISDAADVERSLAGGEVER,03-02-2008,2130,SBS 6,7.104.000
VOETBAL EK NEDERLAND-ITALIE,09-06-2008,2037,Ned1,6.996.000
VOETBAL EK NABESCHOUWING,13-06-2008,2248,Ned1,5.514.000
VOETBAL EK DUITSLAND-SPANJE,29-06-2008,2030,Ned1,5.043.000
VOETBAL EK BEKERUITREIKING,29-06-2008,2245,Ned1,4.566.000
BOER ZOEKT VROUW,03-02-2008,2022,Ned1,4.427.000
VOETBAL EK PORTUGAL-DUITSLAND,19-06-2008,2039,Ned1,4.013.000
HART VAN NEDERLAND,03-02-2008,2350,SBS 6,3.802.000
VOETBAL EK DUITSLAND-TURKIJE,25-06-2008,2036,Ned1,3.735.000
VOETBAL EK RUSLAND-SPANJE,26-06-2008,2037,Ned1,3.647.000
VOETBAL EK RUSLAND-ZWEDEN,18-06-2008,2039,Ned1,3.547.000
VOETBAL EK KROATIE-TURKIJE,20-06-2008,2038,Ned1,3.524.000
VOETBAL EK TURKIJE-TSJECHIE,15-06-2008,2037,Ned1,3.468.000
JOURNAAL 20 UUR,23-11-2008,2000,Ned1,3.437.000
VOETBAL EK DUITSLAND-POLEN,08-06-2008,2040,Ned1,3.430.000
VOETBAL EK SPANJE-ITALIE,22-06-2008,2039,Ned1,3.129.000
VOETBAL EK ITALIE-ROEMENIE,13-06-2008,1752,Ned1,3.112.000
VOETBAL EK OOSTENRIJK-DUITSLAND,16-06-2008,2038,Ned1,3.047.000
STUDIO SPORT EREDIVISIE,09-11-2008,1859,Ned1,2.988.000
VOETBAL EK VOORBESCHOUWING,13-06-2008,2004,Ned1,2.925.000
VOETBAL EK ZWITSERLAND-TURKIJE,11-06-2008,2038,Ned1,2.894.000
REUNIE,26-10-2008,2127,Ned1,2.789.000
VOETBAL EK OOSTENRIJK-POLEN,12-06-2008,2040,Ned1,2.767.000
DOMINO DAY,14-11-2008,2056,SBS 6,2.742.000
SPOORLOOS,27-10-2008,2114,Ned1,2.716.000
YOUP VAN 'T HEK TROOST,31-12-2008,2224,Ned1,2.729.000
VOETBAL WK KW NEDERLAND-IJSLAND,11-10-2008,2040,SBS 6,2.641.000
VOETBAL EK GRIEKENLAND-RUSLAND,14-06-2008,2040,Ned1,2.630.000
IDOLS UITSLAG,01-03-2008,2242,RTL4,2.616.000
VOETBAL EK PORTUGAL-TURKIJE,07-06-2008,2039,Ned1,2.611.000
VOETBAL WK KW NOORWEGEN-NEDERLAND,15-10-2008,1855,RTL4,2.529.000
VOETBAL EK KROATIE-DUITSLAND,12-06-2008,1751,Ned1,2.516.000
DOMINO DAY RESULTSHOW,14-11-2008,2255,SBS 6,2.455.000
VOETBAL EK ROEMENIE-FRANKRIJK,09-06-2008,1752,Ned1,2.451.000
VOETBAL EK GRIEKENLAND-ZWEDEN,10-06-2008,2039,Ned1,2.438.000
MOOI WEER DE LEEUW,25-10-2008,2030,Ned1,2.435.000
ANDRE VAN DUIN'S NIEUWE REVUE,26-12-2008,2122,Ned1,2.417.000
NAJIB AMHALI ZORG DAT JE ERBIJ KOMT,06-12-2008,2030,Ned1,2.391.000
VOETBAL EK ZWEDEN-SPANJE,14-06-2008,1753,Ned1,2.373.000
SCHAATSEN WK SPRINT 1000 MTR HEREN,20-01-2008,1639,Ned1,2.367.000
VOETBAL EK ZWITSERLAND-TSJECHIE,07-06-2008,1752,Ned1,2.361.000
SCHAATSEN WK SPRINT 1000 MTR DAMES,20-01-2008,1551,Ned1,2.342.000
RADAR,03-11-2008,2034,Ned1,2.331.000
RTL VOETBAL EREDIVISIE,16-03-2008,1903,RTL4,2.322.000
SCHAATSEN WK ALLROUND 10 KM HEREN,10-02-2008,1613,Ned1,2.321.000
SCHAATSEN EK ALLROUND 5 KM DAMES,13-01-2008,1324,Ned1,2.318.000
SCHAATSEN WK SPRINT,20-01-2008,1709,Ned1,2.316.000
