Title,Date,Time,Channel,Viewers
VOETBAL EK PRT NLD,17-06-2012,2038,Ned1,7.993.000
VOETBAL EK NLD DEU,13-06-2012,2037,Ned1,7.984.000
VOETBAL EK NLD DNK,09-06-2012,1749,Ned1,6.814.000
VOETBAL EK ESP ITA F,01-07-2012,2025,Ned1,5.176.000
VOETBAL EK DEU PRT,09-06-2012,2035,Ned1,4.555.000
VOETBAL EK JOURNAAL,09-06-2012,2000,Ned1,4.370.000
BOER ZOEKT VROUW,23-09-2012,2024,Ned1,4.273.000
HOCKEY OS DAMES HUL,10-08-2012,2244,Ned1,4.090.000
HOCKEY OS NB,10-08-2012,2231,Ned1,3.933.000
VOETBAL EK ESP ITA HUL,01-07-2012,2243,Ned1,3.912.000
VOETBAL EK DEU ITA HF,28-06-2012,2037,Ned1,3.787.000
VOETBAL EK PRT ESP HF,27-06-2012,2038,Ned1,3.709.000
HOCKEY OS NLD ARG DAMES F,10-08-2012,2148,Ned1,3.699.000
VOICE OF HOLLAND THE FINALS,20-01-2012,2038,RTL4,3.689.000
VOETBAL EK ENG ITA KF,24-06-2012,2037,Ned1,3.636.000
HOCKEY OS DEU NLD HEREN F,11-08-2012,2144,Ned1,3.531.000
VOETBAL EK ESP ITA,10-06-2012,1750,Ned1,3.498.000
VOETBAL EK POL RUS,12-06-2012,2037,Ned1,3.472.000
HOCKEY OS NLD GBR HEREN HF,09-08-2012,2200,Ned1,3.453.000
VOICE OF HOLLAND,05-10-2012,2040,RTL4,3.371.000
VOICE OF HOLLAND LIVE,07-12-2012,2038,RTL4,3.365.000
JOURNAAL 20 UUR,28-10-2012,1959,Ned1,3.353.000
MOORDVROUW,20-01-2012,2220,RTL4,3.323.000
ZWEMMEN OS VRIJE SLAG 50M DAMES HUL,04-08-2012,2058,Ned1,3.268.000
STUDIO SPORT EREDIVISIE,04-03-2012,1858,Ned1,3.265.000
VOETBAL EK DNK PRT,13-06-2012,1751,Ned1,3.264.000
LONDON LIVE,02-08-2012,2127,Ned1,3.247.000
ZWEMMEN OS VLINDERSLAG 100M HEREN HF,02-08-2012,2159,Ned1,3.221.000
VOICE OF HOLLAND THE RESULTS,20-01-2012,2311,RTL4,3.204.000
VOETBAL EK IRL HRV,10-06-2012,2036,Ned1,3.133.000
TV SHOW,18-11-2012,2121,Ned1,3.068.000
VOICE OF HOLLAND THE BATTLE,02-11-2012,2039,RTL4,3.064.000
VOETBAL EK DEU GRC KF,22-06-2012,2039,Ned1,3.057.000
VOICE KIDS,03-02-2012,2037,RTL4,3.053.000
VOETBAL EK FRA ENG,11-06-2012,1751,Ned1,3.048.000
VOETBAL EK RUS CZE,08-06-2012,2036,Ned1,2.994.000
VOETBAL EK CZE PRT KF,21-06-2012,2038,Ned1,2.989.000
VOETBAL EK UKR SWE,11-06-2012,2037,Ned1,2.982.000
VOETBAL EK SWE ENG,15-06-2012,2053,Ned1,2.928.000
OS OPENINGSCEREMONIE,27-07-2012,2151,Ned1,2.870.000
ATLETIEK OS 100M HEREN F,05-08-2012,2246,Ned1,2.862.000
IK HOU VAN HOLLAND,03-03-2012,2030,RTL4,2.785.000
ALL YOU NEED IS LOVE KERSTSPECIAL,24-12-2012,2037,RTL4,2.776.000
NATIONALE DODENHERDENKING,04-05-2012,1950,Ned1,2.724.000
SPOORLOOS,13-02-2012,2111,Ned1,2.712.000
VOETBAL EK ESP FRA KF,23-06-2012,2039,Ned1,2.693.000
DOKTER DEEN,30-01-2012,2208,Ned1,2.670.000
ZWEMMEN OS VRIJE SLAG 4X 100M DAMES F,28-07-2012,2145,Ned1,2.660.000
VOETBAL VR NLD NIR,02-06-2012,1955,SBS 6,2.604.000
ZWEMMEN OS WISSELSLAG 4X 100M WISSEL HEREN F,04-08-2012,2131,Ned1,2.602.000
